AAABAABAACAA,AAABAABAACAAA,S.E.E.ES..
AAABBBACABBABBB,AAABBBACABBABBBA,..E.E.E...
AAABAACBAAAABA,AAABAACBAAAABAB,SSSE.E.EE.
AAAACAAABCACAAA,AAAACAAABCACAAAA,.S..E.S...
AAAACAAACBBA,AAAACAAACBBAA,.E...S..S.
AAABAABBBABCAAC,AAABAABBBABCAACB,.ES....EE.
AAABAACAABBAA,AAABAACAABBAAC,..E.E...S.
AAABAACBABCBAAC,AAABAACBABCBAACA,..E.EE.EE.
AAABBBBAAAACBCA,AAABBBBAAAACBCAA,E....S.E.S
AAABAABAAAAACB,AAABAABAAAAACBA,ES.......E
AAABAACABAAABBB,AAABAACABAAABBBB,E..E..E...
AAABBCBABAAAAB,AAABBCBABAAAABC,...ESS..SE
AAABBBACBABBBCC,AAABBBACBABBBCCB,..E..EE.E.
AAABBCAAAAAACC,AAABBCAAAAAACCB,...SE..ES.
AAAABAABAAAACAB,AAAABAABAAAACABA,...E...S..
AAABAABAABAAACA,AAABAABAABAAACAA,.S..E...S.
AAABBBAAABBA,AAABBBAAABBAA,.......S..
AAABBBACCAAB,AAABBBACCAABB,SEEESE.EE.
AAAAAAAAAAA,AAAAAAAAAAAA,E..E....E.
AAABBBCABBAAAAA,AAABBBCABBAAAAAB,.SSE.E..E.
AAABBBACABAACAC,AAABBBACABAACACA,..........
AAABAACAABBABBB,AAABAACAABBABBBA,...SE.....
AAABBCABCABAA,AAABBCABCABAAC,.........S
AAABAACBABB,AAABAACBABBC,E........E
AAAACAABACAAA,AAAACAABACAAAB,S...S.EE..
AAABBABABAAA,AAABBABABAAAC,E.ES.E...E
AAAAAAAABAAAB,AAAAAAAABAAABA,E.......E.
AAAACAACBACAAA,AAAACAACBACAAAB,E.....SEE.
AAABAACAAAABCA,AAABAACAAAABCAA,..E.E.....
AAABBBACABBA,AAABBBACABBAA,.EESEEE..E
AAAAAAAABAAACCA,AAAAAAAABAAACCAA,.....E..E.
AAABAACBBABA,AAABAACBBABAB,....EE...E
AAABAABAAAAABAA,AAABAABAAAAABAAC,.S..E.S...
AAABAABBBABABB,AAABAABBBABABBA,.E..E....E
AAABBBCABBBCCA,AAABBBCABBBCCAA,..EEE..S..
AAABBBAAAAAAAA,AAABBBAAAAAAAAC,..........
AAABBCAAABABAAA,AAABBCAAABABAAAB,.ESE.SS.E.
AAABAABAAABCB,AAABAABAAABCBC,.....E.SS.
AAAABAAA,AAAABAAAB,...S......
AAABBBBABACABBA,AAABBBBABACABBAB,.E..E...S.
AAAACAAACAAAABB,AAAACAAACAAAABBA,.S.E....S.
AAABBBACBCC,AAABBBACBCCB,......E.EE
AAAABAABBBABBAA,AAAABAABBBABBAAA,.E........
AAABBBACAACBA,AAABBBACAACBAB,.EE.E.S...
AAAACAACBCA,AAAACAACBCAA,..E.....E.
AAAACAABACABCAA,AAAACAABACABCAAA,SE.S...E..
AAABAABABACABA,AAABAABABACABAA,SEEE.E.S..
AAABBABABCABBB,AAABBABABCABBBA,E.S.E.....
AAAACAAAACCBAB,AAAACAAAACCBABC,.....S....
AAABBABAABAACAA,AAABBABAABAACAAA,..S..S....
AAABBBACBA,AAABBBACBAA,..S..E.SE.
AAABBBACBAAA,AAABBBACBAAAA,S..ES.ESES
AAAABAABAAABCCB,AAAABAABAAABCCBC,.SSS....E.
AAAACAACBBBBBBA,AAAACAACBBBBBBAB,S...EE.S..
AAABAACBAACBACA,AAABAACBAACBACAB,..SEEESS..
AAAACAACBABBABA,AAAACAACBABBABAB,.SE.S.....
AAAACAACAAAABB,AAAACAACAAAABBB,..........
AAAAAAAAACBACCA,AAAAAAAAACBACCAA,SES.S..E..
AAAACAACAAAABBA,AAAACAACAAAABBAA,SS.E.....S
AAAABAABCBCCCBB,AAAABAABCBCCCBBC,....SEE..E
AAABAABAAABBCBA,AAABAABAAABBCBAA,.....ES...
AAABBBACABABACB,AAABBBACABABACBB,....SS.SS.
AAABBBCBAABABA,AAABBBCBAABABAA,...E....S.
AAABAABBBABABCB,AAABAABBBABABCBB,EE.E.S....
AAABBCABAAB,AAABBCABAABC,.ESES.EE..
AAABBBCAAAAAB,AAABBBCAAAAABB,..S.......
AAAACAAABBBAAA,AAAACAAABBBAAAA,E.S.S..E..
AAAACAAABCAAA,AAAACAAABCAAAA,..S.EE....
AAABBBBABABBBAC,AAABBBBABABBBACA,...SES.E..
AAAACAACBBBBBAC,AAAACAACBBBBBACA,...EE..E.E
AAABAACAAAABABA,AAABAACAAAABABAA,..E...EE..
AAABBAAABACCBB,AAABBAAABACCBBC,EE.S....S.
AAAAAAAACAAABBC,AAAAAAAACAAABBCB,.E.....SS.
AAAACAACAAA,AAAACAACAAAA,......E.E.
AAABAABAABCAA,AAABAABAABCAAC,.E.S.E.EE.
AAAABAABCBBBCAC,AAAABAABCBBBCACB,S...E....E
AAABBABABCB,AAABBABABCBC,S.E.E.SS..
AAABBCBABAAAAAC,AAABBCBABAAAAACA,ES....E...
AAABAAAAACAAABA,AAABAAAAACAAABAC,.E.S......
AAABBBBACAAAAA,AAABBBBACAAAAAB,.E.E.E....
AAAABAABBAAAAAB,AAAABAABBAAAAABC,..E..E...S
AAABBBBAAABB,AAABBBBAAABBA,.SE.E...SE
AAABBCABBAAABBB,AAABBCABBAAABBBA,......S...
AAAABAABCBBBCAB,AAAABAABCBBBCABB,.....EE...
AAAACAAAAACB,AAAACAAAAACBB,.E........
AAABBBBAAACACB,AAABBBBAAACACBC,..E.E....S
AAAACAAAACABCB,AAAACAAAACABCBB,......EE.S
AAABAABBBAAABBB,AAABAABBBAAABBBC,..E.EEE..E
AAAABAAAAAABAB,AAAABAAAAAABABA,EE.S.....E
AAABBCBAAAAAABA,AAABBCBAAAAAABAA,ESE.ESSES.
AAABBABABBBBAAA,AAABBABABBBBAAAA,S..EES.E..
AAAACAAAABACAAB,AAAACAAAABACAABC,...E.E...S
AAAAAAAAACCABA,AAAAAAAAACCABAB,.....E.SE.
AAABBBBAAACCABA,AAABBBBAAACCABAA,......EE..
AAABBBCABAAA,AAABBBCABAAAA,..S....ESS
AAAACAAAACABCA,AAAACAAAACABCAB,S.....E...
AAAABAABCAAABB,AAAABAABCAAABBB,EE.EE...S.
AAAAAAAAAAAAACB,AAAAAAAAAAAAACBC,.EE..E....
AAAACAAAACACAA,AAAACAAAACACAAA,.S.....E..
AAABAACAABABCBA,AAABAACAABABCBAA,......S...
AAABAACBAACCABA,AAABAACBAACCABAA,E.E.E.ESS.
AAABAACABABACC,AAABAACABABACCB,..S..E.S..
AAABAABAABBBAAB,AAABAABAABBBAABC,..EE.E.E.E
AAABAABAAABCBAA,AAABAABAAABCBAAC,EE....EE.S
AAABBBCBABABA,AAABBBCBABABAB,EE.....ES.
AAAAAABABAAAAA,AAAAAABABAAAAAA,E..S..E..S
AAAACAACBBBBAAC,AAAACAACBBBBAACB,......E..S
AAABAACAABBBBAA,AAABAACAABBBBAAB,SES...E...
AAABAACBBAAAABA,AAABAACBBAAAABAA,..EEE.S..E
AAABBBACBBBAAAA,AAABBBACBBBAAAAA,........E.
AAABBBBAAACCABA,AAABBBBAAACCABAC,...EE....S
AAABBBBBAABAABB,AAABBBBBAABAABBA,.S...E....
AAAACAABACBABAA,AAAACAABACBABAAB,....ESE.EE
AAABBBACBCAB,AAABBBACBCABC,....E.E...
AAAACABAAAAABB,AAAACABAAAAABBB,...S.....E
AAABBBBAAACCA,AAABBBBAAACCAA,S.E.E.E..E
AAAACAACBBBAACA,AAAACAACBBBAACAA,..ES...E..
AAABBBBAAAB,AAABBBBAAABB,......E..S
AAABBAAABAAABAB,AAABBAAABAAABABA,.E.....SSE
AAABBBBA,AAABBBBAA,E.S.S.S...
AAABAAAAABAA,AAABAAAAABAAA,..E.SS..E.
AAABAABBBBBABC,AAABAABBBBBABCC,.S...E..S.
AAAABAABBBACB,AAAABAABBBACBB,.SS.......
AAABBBABABBACAA,AAABBBABABBACAAA,E..EE.EEE.
AAAAAABAABCBA,AAAAAABAABCBAA,.S..ESE..S
AAAACAAAACACCB,AAAACAAAACACCBA,S...E.E...
AAAABAABBBACBBC,AAAABAABBBACBBCC,..........
AAAACAACBACBCAC,AAAACAACBACBCACA,.SE.S...E.
AAAACAAACBAAAAB,AAAACAAACBAAAABC,.E..EE....
AAABAABBBAABB,AAABAABBBAABBA,E.ESS.....
AAABBAAAAAC,AAABBAAAAACA,.ES..E.E..
AAAACAAACABA,AAAACAAACABAC,....S.....
AAABBBCAAAACAAC,AAABBBCAAAACAACA,..E.S.E.E.
AAABAABBBABABAB,AAABAABBBABABABC,EE.....E.S
AAABAACABABA,AAABAACABABAC,.E..EE....
AAABBBCBABBAACB,AAABBBCBABBAACBC,....E....S
AAABBBAAACAAC,AAABBBAAACAACA,S..EE.E...
AAABAACABAAAACA,AAABAACABAAAACAA,......E..S
AAABBBAAACAA,AAABBBAAACAAC,..E..E....
AAABAACBABBCAB,AAABAACBABBCABA,S.E..E....
AAABAACAABABCAA,AAABAACAABABCAAA,...EESE.E.
AAABBBAAABAC,AAABBBAAABACB,SSSS.ES.E.
AAABBAAABABA,AAABBAAABABAA,.E.......E
AAABAABABABABBB,AAABAABABABABBBB,...S...E..
AAABBBBAAABABB,AAABBBBAAABABBB,E..E...S..
AAABAABAACABAAB,AAABAABAACABAABB,EEEE......
AAABAABBBABCACA,AAABAABBBABCACAC,..EEE..E.E
AAABBBABABACAAC,AAABBBABABACAACA,.......S.E
AAABBBCABBBBA,AAABBBCABBBBAA,..SE....EE
AAAACAAAABABB,AAAACAAAABABBA,..E.....E.
AAABAABBBBBAABC,AAABAABBBBBAABCB,.E...ESE.E
AAABBBBAAAABCAC,AAABBBBAAAABCACA,..E...SSSS
AAAAAAAAABACBBA,AAAAAAAAABACBBAA,EE......E.
AAABAABABAABAA,AAABAABABAABAAA,...ES....S
AAAACAAACAAAABA,AAAACAAACAAAABAA,..ESE...E.
AAABBBABAAACAAA,AAABBBABAAACAAAB,..SE......
AAAACAAABCAAABC,AAAACAAABCAAABCA,....S...EE
AAABAABABAB,AAABAABABABA,.SEEE..S.E
AAABBBCABCACAAA,AAABBBCABCACAAAA,..E.E....E
AAAACAACBABBAAA,AAAACAACBABBAAAA,E.E....S..
AAAACAABAABAAA,AAAACAABAABAAAA,S..E....E.
AAAAAAAABBABB,AAAAAAAABBABBA,.....S....
AAAACAAACBBAA,AAAACAAACBBAAA,.S...S....
AAABAABAACABABB,AAABAABAACABABBC,S..SE..E..
AAABAACAABABBA,AAABAACAABABBAB,...SS.E...
AAABAACBBAABAA,AAABAACBBAABAAC,.SEEEEES..
AAABAABAABBBA,AAABAABAABBBAB,.......E..
AAABAABBABAAAAA,AAABAABBABAAAAAA,E.....E...
AAAACAAAABBABC,AAAACAAAABBABCB,..E...S..E
AAABBBACBCABCAA,AAABBBACBCABCAAB,....EE..E.
AAABBCABCBBBACC,AAABBCABCBBBACCA,.....SSE.S
AAAACAAACBBBCAA,AAAACAAACBBBCAAC,......E...
AAAAAAAAACBABAC,AAAAAAAAACBABACA,EE...E....
AAABBABAABBAAAA,AAABBABAABBAAAAA,ES.SSE....
AAABBABABCBAAAA,AAABBABABCBAAAAB,E...S.E..S
AAAAAAAAAAAACCC,AAAAAAAAAAAACCCB,..E....ESE
AAABBABABAA,AAABBABABAAB,S.SE......
AAAABAABCBB,AAAABAABCBBA,E.E....E..
AAABAABBBBAAAA,AAABAABBBBAAAAB,SESSES.EEE
AAABBBBAAABAA,AAABBBBAAABAAA,.....S....
AAABBBBAAACACA,AAABBBBAAACACAA,......E.E.
AAABBBBAABBCA,AAABBBBAABBCAA,.....E...E
AAABBBCBABABB,AAABBBCBABABBA,ES....SS..
AAABBCABAABABB,AAABBCABAABABBC,EE........
AAAACAAAACCAAA,AAAACAAAACCAAAC,....E.ESE.
AAAABAABCBCACA,AAAABAABCBCACAC,.E.S.E.E.E
AAABBAAABACCBB,AAABBAAABACCBBA,SS......S.
AAABBCBABAABBAB,AAABBCBABAABBABA,.E..E.....
AAAABAABCBBBCCA,AAAABAABCBBBCCAA,...SSE...S
AAABBBCAAA,AAABBBCAAAA,..SES...E.
AAABAACBABAB,AAABAACBABABB,.....SSESE
AAAAAAAABACAAA,AAAAAAAABACAAAA,S..S.S....
AAABBBACABBACB,AAABBBACABBACBA,......E..E
AAABBBACBAAABA,AAABBBACBAAABAB,E...E.ESE.
AAABAACABABACC,AAABAACABABACCA,..S.....EE
AAAACAABACBAABB,AAAACAABACBAABBA,..S.EE..E.
AAABBABAAACAA,AAABBABAAACAAA,E....S..S.
AAABBBACCAABAB,AAABBBACCAABABA,.S.S......
AAAABAABCBBABB,AAAABAABCBBABBB,ES...S.E.E
AAABBAAAAAAAAB,AAABBAAAAAAAABB,....E.E...
AAABAABBBAACCAA,AAABAABBBAACCAAA,EE.SEE....
AAABBBACAACC,AAABBBACAACCA,....S..E..
AAABBABAABABBA,AAABBABAABABBAB,E..S...S..
AAAACAACBACBAAC,AAAACAACBACBAACB,.E...E...E
AAABBAAABACB,AAABBAAABACBB,........ES
AAAAAAAABBBBA,AAAAAAAABBBBAA,.EEEE.E.SE
AAAACAACBBBBBB,AAAACAACBBBBBBC,SE....SSS.
AAAACAAABBBBCBA,AAAACAAABBBBCBAA,......EEE.
AAAACAAABB,AAAACAAABBA,E...E...SS
AAABBBBAA,AAABBBBAAA,E..E..S.S.
AAABBBACBBCAAA,AAABBBACBBCAAAA,SE..EE..S.
AAABAACBAAAABAA,AAABAACBAAAABAAB,.S..E..S.S
AAABBBCABCACAAA,AAABBBCABCACAAAB,..E...E..E
AAAAAABAAAAAAAB,AAAAAABAAAAAAABA,....E.....
AAABBAAABBBB,AAABBAAABBBBA,.E.EE...EE
AAABBBACCABABCA,AAABBBACCABABCAB,.E.E.EEE.E
AAABBCABCAAABB,AAABBCABCAAABBA,S.E..E....
AAABBCABAAAC,AAABBCABAAACB,....E.EE..
AAABAACBABABAAB,AAABAACBABABAABA,..SEE.SE.E
AAABBBCAAAABA,AAABBBCAAAABAA,.E.....E..
AAABBBABABACAA,AAABBBABABACAAC,..EE...S.S
AAAACAAABBAAACB,AAAACAAABBAAACBA,......S.E.
AAAAAAAAABBAB,AAAAAAAAABBABC,EEEEE...ES
AAABAACBAACBAAC,AAABAACBAACBAACC,...ES.....
AAAAAAAAABAAABB,AAAAAAAAABAAABBB,E..EE.....
AAAABAABBAAABC,AAAABAABBAAABCC,E...SSEE..
AAAAAAAAACBACAA,AAAAAAAAACBACAAA,S...SES.E.
AAAABAAAAAAACA,AAAABAAAAAAACAC,ESEES...E.
AAABAACBBAABAAA,AAABAACBBAABAAAB,E......E..
AAAACAAABBAAACA,AAAACAAABBAAACAB,.E..ES.E.E
AAAABAABCABCAAA,AAAABAABCABCAAAB,ESE.......
AAABBBCBAACBABA,AAABBBCBAACBABAB,..E.S.E...
AAABBBAAABACC,AAABBBAAABACCB,........ES
AAABAACABABAABC,AAABAACABABAABCC,..EE.E...E
AAABAAAA,AAABAAAAA,.S........
AAABBBACBBAACBA,AAABBBACBBAACBAC,.......S.E
AAABBBBACBBAC,AAABBBBACBBACA,EES.....E.
AAABBBCBAACBACA,AAABBBCBAACBACAA,.EE.S...E.
AAABBCABAAACAAA,AAABBCABAAACAAAA,.E.SS.....
AAABBBACBCABABA,AAABBBACBCABABAA,EESS.S.S..
AAABBCABCABAAAB,AAABBCABCABAAABB,........EE
AAABBCABCBBAAA,AAABBCABCBBAAAA,.S...EEE.E
AAABBBACABAABAB,AAABBBACABAABABB,S...E.E..E
AAABAACABAAABB,AAABAACABAAABBB,E......E..
AAABBCABBABA,AAABBCABBABAA,......ES..
AAAAAAAABAAABAA,AAAAAAAABAAABAAA,ES.E..EE..
AAABAACBAAACBC,AAABAACBAAACBCA,....E..E.S
AAABBBBAAAAB,AAABBBBAAAABB,..E.SE....
AAABAAAAAAABAB,AAABAAAAAAABABC,.EE.EE.EE.
AAABBABAABAAAAA,AAABBABAABAAAAAA,.EE.E.E...
AAABBAAABAABABA,AAABBAAABAABABAA,......E.SE
AAAACAACBABCCBB,AAAACAACBABCCBBC,.E.S.E....
AAABBABABBBAAA,AAABBABABBBAAAA,...ESS....
AAABBCABAABCAA,AAABBCABAABCAAA,S..SS.....
AAABBBACBCBCA,AAABBBACBCBCAB,E.ES...S..
AAABBBACBCBCAB,AAABBBACBCBCABA,...S.E..EE
AAABBBABABBBBAA,AAABBBABABBBBAAA,.EE.SS.S..
AAAABAABCBAAAA,AAAABAABCBAAAAB,.......S..
AAAABAABAAAABBA,AAAABAABAAAABBAB,E..E...ESE
AAABAACAABABCCA,AAABAACAABABCCAC,S.EE......
AAAABAABCAAACAA,AAAABAABCAAACAAC,.ESE......
AAABBBBABABAABA,AAABBBBABABAABAA,.E.......E
AAAACAAABBAACB,AAAACAAABBAACBB,E....SEES.
AAAACAAAAABABBA,AAAACAAAAABABBAC,.EE.E....E
AAABAACBAACACCB,AAABAACBAACACCBA,E..E...EEE
AAABBABAAAAAAAA,AAABBABAAAAAAAAA,E.E.E.S..E
AAABBBCBABACBAA,AAABBBCBABACBAAA,E..E.S..EE
AAAACAACBACB,AAAACAACBACBC,E......E.S
AAAABAAAAAAACAC,AAAABAAAAAAACACA,ES.......E
AAAACAACAAAABBB,AAAACAACAAAABBBB,..........
AAAACAAABCAAA,AAAACAAABCAAAB,S..E..S..E
AAABAABBBABCAA,AAABAABBBABCAAB,.......E..
AAABAACBAAABBA,AAABAACBAAABBAB,E.E...SE..
AAABAABBBBBABA,AAABAABBBBBABAB,..SE..E.E.
AAABBBACAACABB,AAABBBACAACABBA,.........E
AAAACAABACBBAB,AAAACAABACBBABB,..EE.....E
AAAACAACBACBBAA,AAAACAACBACBBAAB,EES.EEE.SS
AAABAABBBAACAAA,AAABAABBBAACAAAA,ES...E....
AAAACAACBAAAABA,AAAACAACBAAAABAA,S..E.....E
AAABBCABCBAAAAA,AAABBCABCBAAAAAA,.E........
AAABAABBBAACACC,AAABAABBBAACACCA,..........
AAAACAABACABCAB,AAAACAABACABCABB,ES.ES.....
AAABAACBABBA,AAABAACBABBAA,.S...E.EEE
AAABAACBBAABAA,AAABAACBBAABAAB,..........
AAABBBACBCABBBA,AAABBBACBCABBBAA,.E......S.
AAAACAAAABACABB,AAAACAAAABACABBC,....SES.E.
AAABBBACCAAAAC,AAABBBACCAAAACB,.......E..
AAABBBACBABBBCA,AAABBBACBABBBCAB,.S.E......
AAABBBACBACBCAA,AAABBBACBACBCAAB,....S.ESES
AAAACAAABBACABC,AAAACAAABBACABCA,.S.E.SE..E
AAABAACBABABA,AAABAACBABABAA,.S...SEE..
AAAABAABAAABBAA,AAAABAABAAABBAAB,..S......E
AAABBBCABBBAAAA,AAABBBCABBBAAAAB,..S..E....
AAABAABBBABBAC,AAABAABBBABBACA,S..E......
AAABBBACBBCBAAA,AAABBBACBBCBAAAB,E..E..S..E
AAABBBAAABBCCAA,AAABBBAAABBCCAAA,......EE.E
AAABBBACCABAAB,AAABBBACCABAABB,S.S.SE....
AAAACAACBBBBC,AAAACAACBBBBCC,.E...E.E.E
AAAACAAAAAAACA,AAAACAAAAAAACAA,E...EE.E.E
AAABAACBABCBACA,AAABAACBABCBACAC,....S.E...
AAABBCAAAABAAB,AAABBCAAAABAABA,.E....E..E
AAAB,AAABA,..S..SE..E
AAABBBACBCBCAAA,AAABBBACBCBCAAAC,S.SSEE.EE.
AAABBBAAABACBBA,AAABBBAAABACBBAC,...EE.S.E.
AAAABAABBACAA,AAAABAABBACAAB,....EES.S.
AAAABAABBAAABA,AAAABAABBAAABAB,S.EES.SS..
AAABBBCABBBCAA,AAABBBCABBBCAAA,S...SSE.S.
AAAAAAAAACBCCA,AAAAAAAAACBCCAB,.E.SE.E...
AAAABAABCBCACCB,AAAABAABCBCACCBA,......EE..
AAAACAABACAAABA,AAAACAABACAAABAA,..ES.S..ES
AAAACAAACBBBC,AAAACAAACBBBCB,.E.SE.S...
AAABBBCBABBAAB,AAABBBCBABBAABA,.EE..S...S
AAABBBABABAAA,AAABBBABABAAAA,.E.EE.SE.S
AAABBAAABCCAABA,AAABBAAABCCAABAA,.EE.ESS...
AAABBAAABACABB,AAABBAAABACABBA,EE...EE..E
AAABBAAAAACBBAA,AAABBAAAAACBBAAB,S.E...ES.E
AAABAACBABC,AAABAACBABCB,E.E...EE..
AAABBAAABAAACA,AAABBAAABAAACAA,.E..SE.S.E
AAAAAAAABCAACCA,AAAAAAAABCAACCAB,S...ESE..E
AAAACAABACBABA,AAAACAABACBABAA,.........E
AAABBBBACBBCAAB,AAABBBBACBBCAABB,EE..E.....
AAABAABBBCBAA,AAABAABBBCBAAC,.E...S.S..
AAABBABABBBCBC,AAABBABABBBCBCC,.EE...S..S
AAABBBAAABBCCBB,AAABBBAAABBCCBBA,...E.EE..E
AAABBBBAAAAB,AAABBBBAAAABA,.ES.SE.EE.
AAABBBCBAABBAAB,AAABBBCBAABBAABB,.E..S..E..
AAABBBAAABACACA,AAABBBAAABACACAC,.......SE.
AAABBCABCABABA,AAABBCABCABABAB,.S...E....
AAABBBACCABACBA,AAABBBACCABACBAC,E....E..ES
AAABBBABAAACACC,AAABBBABAAACACCA,SE...E..E.
AAABBBCAAAAA,AAABBBCAAAAAB,.......E.E
AAAACAABAAACCBA,AAAACAABAAACCBAB,.....EE.E.
AAABBBBAAB,AAABBBBAABA,..SE.SEE..
AAAACAACBABCCAB,AAAACAACBABCCABA,..S.EES.E.
AAAACAABACBACA,AAAACAABACBACAB,........S.
AAABAACBBABCAB,AAABAACBBABCABC,.........E
AAABBBACBACAAAA,AAABBBACBACAAAAB,ESE.......
AAABBAAABBABABB,AAABBAAABBABABBA,.S....E..E
AAAACAABAAAABAA,AAAACAABAAAABAAA,......SSS.
AAABAACBBAABAAA,AAABAACBBAABAAAA,..E.ES..ES
AAABBBABAAA,AAABBBABAAAB,.S...S.S..
AAAACAACBABAAA,AAAACAACBABAAAA,..E....E..
AAABBAAABBBABCB,AAABBAAABBBABCBA,..S.......
AAABAABABAABBB,AAABAABABAABBBB,...E...E..
AAABBABABBAAAA,AAABBABABBAAAAB,E.....S..S
AAAACAAAACABAAA,AAAACAAAACABAAAB,.S....S.EE
AAAACAABAAAAA,AAAACAABAAAAAA,EE..ESE.E.
AAABBAAAAAAAAA,AAABBAAAAAAAAAA,.E..E.....
AAABBABABBBAAAC,AAABBABABBBAAACC,....EEEEE.
AAABBAAABBBBACA,AAABBAAABBBBACAB,EEEE....SE
AAABBCAAABABAA,AAABBCAAABABAAA,EEE.E.S..S
AAAAAAAAABAAACA,AAAAAAAAABAAACAA,......E...
AAAABAABAAABACB,AAAABAABAAABACBA,.E.....E..
AAABBBCABBAAABB,AAABBBCABBAAABBB,E.E..S...E
AAAABAABCBACBCA,AAAABAABCBACBCAC,.EE.EE.EES
AAAACAAACABBACA,AAAACAAACABBACAB,.E.EEE....
AAABBCABBACAA,AAABBCABBACAAA,.ESE..S...
AAABBBACBCCCAAA,AAABBBACBCCCAAAB,..EE...SE.
AAAACAABABBAAA,AAAACAABABBAAAC,....ES...S
AAABBBCBAACABAA,AAABBBCBAACABAAA,.E...E..SE
AAAACAAAABBABC,AAAACAAAABBABCA,E.E....E..
AAAACAACBBBBBCA,AAAACAACBBBBBCAA,..EES....E
AAABBBACBCBA,AAABBBACBCBAB,........E.
AAABAA,AAABAAA,.EES.E.SES
AAABAABABAAB,AAABAABABAABB,..S.SE..E.
AAABAABAAABAAC,AAABAABAAABAACA,S.ESE.E.E.
AAAAAAAABAAACAA,AAAAAAAABAAACAAA,ESEESEE...
AAAACAAACABABAA,AAAACAAACABABAAA,...E.E.E..
AAABBBACABAACB,AAABBBACABAACBA,.E...S..S.
AAABAACABABACCB,AAABAACABABACCBB,....EE..E.
AAAABAABAAABBA,AAAABAABAAABBAA,....E..E.E
AAABBAAAAAB,AAABBAAAAABB,...EE.....
AAABBBCAAAAABAA,AAABBBCAAAAABAAB,....E..EE.
AAABBABABAAACBA,AAABBABABAAACBAB,S.E..EE.SE
AAABBBCAAAAACA,AAABBBCAAAAACAA,EE.E.S....
AAAABAABCBCCBAB,AAAABAABCBCCBABA,.SE...S...
AAAACAAACAAAAA,AAAACAAACAAAAAA,E..EE.S.EE
AAAAAAAAAAAABAC,AAAAAAAAAAAABACC,..EEE.SE..
AAABBAAAB,AAABBAAABC,SE........
AAABAACBBAAABCB,AAABAACBBAAABCBC,......S.E.
AAAACAAABBAABB,AAAACAAABBAABBB,E..E.SE.SS
AAAACAABAAABAA,AAAACAABAAABAAA,..ESS.....
AAABBCABCBA,AAABBCABCBAA,E..EES..E.
AAAAAAAAACBCAB,AAAAAAAAACBCABB,EEE..E...E
AAABBCAAAAACAAA,AAABBCAAAAACAAAA,...E.E...E
AAAABAABAAABCB,AAAABAABAAABCBB,.ES..E..E.
AAAACAACBBBAA,AAAACAACBBBAAC,E.E..E...E
AAAABAABBAAAB,AAAABAABBAAABB,.SE...E..S
AAABAACBABCCA,AAABAACBABCCAB,E.S......S
AAABAACBBAAABBC,AAABAACBBAAABBCA,ESS.S....E
AAABAACABABBAA,AAABAACABABBAAC,...EE.....
AAABBBCAAAAABBA,AAABBBCAAAAABBAB,........E.
AAAAAABABBBABAC,AAAAAABABBBABACB,E.S....S.E
AAABBBAAABABCBA,AAABBBAAABABCBAB,ESE.SE.S..
AAAABAABCAAAABA,AAAABAABCAAAABAA,.E........
AAABBBBAABBAA,AAABBBBAABBAAA,E..E...S..
AAAAAABABBBBAA,AAAAAABABBBBAAC,SS.E.E..SE
AAABBCAAABABABA,AAABBCAAABABABAC,S...EEE..E
AAAABAABCAA,AAAABAABCAAA,..EE..ES..
AAAACAAABCABAA,AAAACAAABCABAAA,.........E
AAABAABBBAAACB,AAABAABBBAAACBA,....E.EEE.
AAABBBAC,AAABBBACA,....S.S.E.
AAAAAAAAACCBB,AAAAAAAAACCBBC,........EE
AAABAABAABCAABB,AAABAABAABCAABBA,....S....S
AAAABAABCBCBAA,AAAABAABCBCBAAC,S.E...EEE.
AAABBCAAAAABBBA,AAABBCAAAAABBBAA,E...EE..ES
AAABAABAAABCBB,AAABAABAAABCBBA,.....EE...
AAABBBBACBBAAAB,AAABBBBACBBAAABB,.E.S..E...
AAABBBBAABAABBB,AAABBBBAABAABBBA,.S.E.E....
AAABAACBABBB,AAABAACBABBBC,.S.S......
AAABBBBAAACBABA,AAABBBBAAACBABAB,S....E.S..
AAABAAAAABAACA,AAABAAAAABAACAA,E.S.E.E...
AAABBBACBCB,AAABBBACBCBB,EE.....SE.
AAABAACAAAABAB,AAABAACAAAABABB,E....SE..E
AAABAACBAABAABA,AAABAACBAABAABAC,SS.EEES.E.
AAAACAAAACBAAA,AAAACAAAACBAAAA,......E..S
AAABBABABAACAA,AAABBABABAACAAC,..E...S.E.
AAABBABABCAABBC,AAABBABABCAABBCA,...EE....E
AAAACAAABABCBAB,AAAACAAABABCBABC,.E.......E
AAABBCABCBABAC,AAABBCABCBABACB,S....E...E
AAABBA,AAABBAA,E........E
AAAACAAABBA,AAAACAAABBAC,...EE...EE
AAABBBABABABAAB,AAABBBABABABAABC,...E....E.
AAAACAAAABABBAC,AAAACAAAABABBACC,.SS.E.SE..
AAABBBAAABACCCA,AAABBBAAABACCCAC,.E........
AAABAABBBAACAA,AAABAABBBAACAAA,...S..E...
AAABBCBABAAB,AAABBCBABAABB,..........
AAABBCABCBAAAAB,AAABBCABCBAAAABC,..SS.E...E
AAAACAAAACCB,AAAACAAAACCBB,....S..EEE
AAABBBAAABBAAA,AAABBBAAABBAAAB,S...S.....
AAABBCABBAB,AAABBCABBABB,...S.S.EE.
AAABAACAAABAA,AAABAACAAABAAA,...E....ES
